	Kategorie	Nummer	Bezeichnung Kategorie	Anmerkungen	Zuordnung unsicher		mehrdeutig		diskutieren!		Kontext (SteA-Text)
-einrhtingen				nicht auffindbar in STEA weglassen							Elektroniker/innen für Betriebstechnik im Bereich Schalt- und Steueranlagen entwickeln, konstruieren und projektieren Schalt-, Verteilungs- und Steuergeräte, Steueranlagen bzw. -einrichtungen.    Elektroniker/innen für Betriebstechnik im Bereich Schalt- und Steueranlagen entwickeln, konstruieren und projektieren Schalt-, Verteilungs- und Steuergeräte, Steueranlagen bzw. -einrichtungen.    Wir suchen Elektroniker/innen für Betriebstechnik im Bereich Schalt- und Steueranlagen entwickeln, konstruieren und projektieren Schalt-, Verteilungs- und Steuergeräte, Steueranlagen bzw. -einrichtungen.    Sie entwickeln, konstruieren und projektieren Schalt-, Verteilungs- und Steuergeräte, Steueranlagen bzw. -einrichtungen.    Elektroniker/innen für Betriebstechnik im Bereich Schalt- und Steueranlagen entwickeln, konstruieren und projektieren Schalt-, Verteilungs- und Steuergeräte, Steueranlagen bzw. -einrichtungen.    Sie entwickeln, konstruieren und projektieren Schalt-, Verteilungs- und Steuergeräte, Steueranlagen bzw. -einrichtungen.  Wir suchen Elektroniker/innen für Betriebstechnik im Bereich Schalt- und Steueranlagen entwickeln, konstruieren und projektieren Schalt-, Verteilungs- und Steuergeräte, Steueranlagen bzw. -einrichtungen.  Zu Ihren Aufgaben gehört die Entwicklung, Konstruktion und Projektierung von Schalt-, Verteilungs- und Steuergeräte, Steueranlagen bzw. -einrichtungen.  Idealerweise haben Sie bereits Erfahrung im Umgang mit anspruchsvollen CNC-Schleifteilen und mit entsprechenden Messgeräten und -einrichtungen.    Elektroniker/innen für Betriebstechnik im Bereich Schalt- und Steueranlagen entwickeln, konstruieren und projektieren Schalt-, Verteilungs- und Steuergeräte, Steueranlagen bzw. -einrichtungen.  Zu Ihren Aufgaben gehört die Entwicklung, Konstruktion und Projektierung von Schalt-, Verteilungs- und Steuergeräte, Steueranlagen bzw. -einrichtungen.  Wir suchen Elektroniker/innen für Betriebstechnik im Bereich Schalt- und Steueranlagen entwickeln, konstruieren und projektieren Schalt-, Verteilungs- und Steuergeräte, Steueranlagen bzw. -einrichtungen.  Idealerweise haben Sie bereits Erfahrung im Umgang mit anspruchsvollen CNC-Schleifteilen und mit entsprechenden Messgeräten und -einrichtungen.  Sie entwickeln, konstruieren und projektieren Schalt-, Verteilungs- und Steuergeräte, Steueranlagen bzw. -einrichtungen.  Sie entwickeln Schalt- und Steueranlagen, konstruieren und projektieren Schalt-, Verteilungs- und Steuergeräte, Steueranlagen bzw. -einrichtungen.
-mitteln				AM? sehr undeutlich in den verschiedensten Zusammenhängen							Sie erhalten umfangreiche theoretische und praktische Kenntnisse in allen Bereichen des Einsatzes von Reinigungsgeräten, -mitteln und -maschinen.    Die Theorie: Sie erhalten umfangreiche theoretische und praktische Kenntnisse in allen Bereichen des Einsatzes von Reinigungsgeräten, -mitteln und -maschinen.  Sie erhalten umfangreiche theoretische und praktische Kenntnisse in allen Bereichen des Einsatzes von Reinigungsgeräten, -mitteln und -maschinen.    Die Theorie: Sie erhalten umfangreiche theoretische und praktische Kenntnisse in allen Bereichen des Einsatzes von Reinigungsgeräten, -mitteln und -maschinen.  Sie erhalten umfangreiche theoretische und praktische Kenntnisse in allen Bereichen des Einsatzes von Reinigungsgeräten, -mitteln und -maschinen.  Weiterhin erlernen Sie den fachmännischen Umgang mit technischen, mechanischen und chemischen Reinigungsgeräten und -mitteln.    5 Umgang mit Arbeitsgeräten und -mitteln,  Sie erhalten umfangreiche theoretische und praktische Kenntnisse in allen Bereichen des Einsatzes von Reinigungsgeräten, -mitteln und -maschinen.  Die Theorie: Sie erhalten umfangreiche theoretische und praktische Kenntnisse in allen Bereichen des Einsatzes von Reinigungsgeräten, -mitteln und -maschinen.    Sie erhalten umfangreiche theoretische und praktische Kenntnisse in allen Bereichen des Einsatzes von Reinigungsgeräten, -mitteln und -maschinen.  Die Theorie: Sie erhalten umfangreiche theoretische und praktische Kenntnisse in allen Bereichen des Einsatzes von Reinigungsgeräten, -mitteln und -maschinen.
-pistolen				Pistole							Mit Spritzgeräten und -pistolen, manchmal auch mit Pinsel oder Rolle tragen sie die einzelnen Lackschichten auf.  Umgang mit Spritzgeräten und -pistolen  Umgang mit Spritzgeräten und -pistolen  Mit Spritzgeräten und -pistolen, manchmal auch mit Pinsel oder Rolle tragen sie die einzelnen Lackschichten auf.  Mit Spritzgeräten und -pistolen, tragen sie die einzelnen Lackschichten auf.  Mit Spritzgeräten und -pistolen tragen sie die einzelnen Lackschichten auf.
-sägen				Säge							Kenntnisse im Betonbohren oder -sägen bzw. in der Bausanierung (Mauerwerkstrockenlegung, Betonsanierung o.ä.)    Kenntnisse im Betonbohren oder -sägen bzw. in der Bausanierung (Mauerwerkstrockenlegung, Betonsanierung o.ä.)    Kenntnisse im Betonbohren oder -sägen bzw. in der Bausanierung (Mauerwerkstrockenlegung, Betonsanierung o.ä.)    Kenntnisse im Betonbohren oder -sägen bzw. in der Bausanierung (Mauerwerkstrockenlegung, Betonsanierung o.ä.)
fensterautomat				kein am							NA
merlin				SW Buchung/Reservierung wie Amadeus							Kenntnisse in Merlin, Bistro, Traffics
orderman				ordermanagment kein AM							NA
											NA
toma				Start Toma - SW Buchung/Reservierung wie Amadeus							gute Kenntnisse in CRS-Systemen, amadeus, TOMA
#c				C#? Programmiersprache							Kenntnisse in #C, C/C++, .NET, Silverlight, Graphical User Interface sowie in der Anwendung von objektorientierten Methoden (OOD/OOA) und UML
¿ansi-c¿				Programmiersprache							Codieren in Hochsprache ¿ANSI-C¿ und Assembler unter Beachtung von MISRA
2d-software				? CAD/ Grafik							Fundierte CAD-Ausbildung an Computern mit 3D- und 2D-Software
activex				Programmiermodell							Fundierte Kenntnisse in COM / ATL und ActiveX in verteilten Systemen  Fundierte Kenntnisse in COM / ATL und ActiveX in verteilten Systemen  Fundierte Kenntnisse in COM / ATL und ActiveX in verteilten Systemen
alpha plus				DMS in Alphaplus							Alpha Plus und Lexware    Alpha Plus und Lexware
alphacam				CAD Programm							Ihre Erfahrungen im CAD-Bereich runden Sie mit erweiterten Kenntnissen in AlphaCam, Edgecam und MS Office Anwendungen ab.
analyse-tool				verschiedene Zusammenhänge, bsp REFA bei der Netzwerkanalyse aber auch Statistik und anderes It bspw Flex Ray AVC (Vector Analyse)							Sie arbeiten mit Analyse-Tools und Content-Management-Systemen
analysetool				so							hohes Interesse an mathematisch-statistischen Auswertungen und Datenbanken sowie sicherer Umgang mit Analysetools (z. B. Pivot-Tabellen) wären wünschenswert
analysewerkzeug				s.o							Sie haben Erfahrung im Umgang mit statistischen Analysewerkzeugen.
anbaugerat				meist Landwirtschaft, Geräte die an Traktoren Bagger angebaut werden							Sie arbeiten in einem motivierten Team an der Neuentwicklung und Modifikation von selbstfahrenden Arbeitsmaschinen und Anbaugeräten.
apc				Advanceed Process controll/ Linux Administration / Automatisierungstechnik							Installation, Konfiguration und Administration von APC und Peripheriegeräten
applikationsprogramm				Robpoter oder Motorsport -_> SW zur Maschinenesteuerung							Entwicklung von Software für Maschinensteuerungen und Applikationsprogramme
applikationstool				Bspw `CANape /INCA in der Antriebselektronik							Sehr gute Kenntnisse im Umgang mit Automotive Applikationstools (INCA, DiagRa)  Sehr gute Kenntnisse im Umgang mit Automotive Applikationstools (INCA, DiagRa, Puma, Cameo)
											NA
arcon				Bauzeichnungs SW							Zwingend notwendig ist für den Arbeitgeber, dass die zukünftigen Bewerber über PC- Kenntnisse und Bauzeichnungsprogramme, wie CAD und Arcon verfügen.
ars				kein AM							Problemverfolgung mittels Ticketsystem Remedy (ARS), inkl.
asi				Bussystem oder ASIG= Gesetz oder ASIC= Entwickeln							Erfahrung bei der Anwendung von Bus-Systemen (Profibus, Ethernet, ASi und DataHighway Plus)
b&w				SAP?							Sicherer Umgang mit MS-Office, SAP, CAD, CAQ-Software (B&W, Minitab) und FMEA
backend-applikation				AM?							Koordinierung und Steuerung technische Projekte für unsere Frontend- und Backend-Applikationen.
backend-extansion				AM?							Entwicklung von Frontend- und Backend-Extansions sowie deren Anpassungen
badi				SAP Customizimg, SAP Erweiterung							Erfahrung in der Entwicklung mit SAP R/3, ERP, ABAP/4 (BAPI, BADI, ABAP OO)
bapi				Business integration technology, SAP-Programmierung							Erfahrung in der Entwicklung mit SAP R/3, ERP, ABAP/4 (BAPI, BADI, ABAP OO)
bäurer				Sage Bäurer b2 ERp, finanzsystem							Vorausgesetzt werden eine abgeschlossene Ausbildung und der sichere Umgang mit dem PC (wünschenswert sind dabei Kenntnisse eines PPS-Systems vorzugsweise Sage Bäurer und MS Office).
bauteilzeichnung				zu 8D Vorlagen							Erstellung von Bauteilzeichnungen, Aufstellungsplänen und R+I-Schemata mit AutoCAD (Mechanical Desktop)
bo-programm				/							Kenntnisse im Umgang mit CCB und BO-Programmen
bo				/							Sie haben tief greifende Erfahrungen in SAP BW und BO
brecher				Zerkleinerungsmaschine , Baumaschine/ Anlage							Nach gründlicher Einarbeitung sind Sie in unseren Betrieben Remseck Aldingen und Öhringen verantwortlich für den technischen Zustand sämtlicher Anlagen und Maschinen, wie Verpackungs- Brecher und Aufbereitungsanlage, Radlader, Stapler, LKW etc.
c.a.t.s				CAD programm							Kenntnisse in mindestens einem branchenspezifischen CAD-Programm (Pit-Cup, C.A.T.S oder Micro Station Tricad) sivon  Kenntnisse in mindestens einem branchenspezifischen CAD-Programm (Pit-Cup, C.A.T.S oder Micro Station Tricad) sivon
cal				?							Sehr gute PC-Kenntnisse im Bereich CAD und CAL, idealerweise verfügen Sie über Erfahrung in LucidShape bzw. vergleichbarer CAL-Software
calygo				Messprogramm							Sie haben Kenntnisse im Bereich Koordinatenmesstechnik und folgenden Programmen Calypso, GOM CAD, Calygo, Holos und QDA.
can-infrastruktur				AM?							Kenntnisse im Bereich CAN-Infrastruktur sowie Meßsoftware
canop				canopen							Ausgezeichnete Kenntnis der normativen Anforderungen/ Vorschriften und vertraut mit AUTOCAD Konstruktionszeichnungen und CANopen Programmierung,
canope				canopen Bussystem/ CAD							Kenntnisse im Einsatz von Feldbussen, vorzugsweise mit CANopen und Modbus  Kenntnisse im Einsatz von Feldbussen, vorzugsweise mit CANopen und Modbus
cc				?							Erfahrung im CC - Bereich erwünscht
ccb				change control boards							Kenntnisse im Umgang mit CCB und BO-Programmen
cfd-codes				Entwicklung?							* Kenntnisse in MS-Office, CAx und CFD-Codes
cgi				Programmiersprache? Computer generated Images überhaupt AM?							° Programmierung in PHP, CGI und Java
charly				kein AM							Englischkenntnisse und Erfahrung im Umgang mit Zahnarztpraxissoftware Charly sind wünschenswert.
cim				Continiousa Impact Net/CIM Manager kein Am/ CIM Database =Am /CAM/CIM System							Kenntnisse im Umgang mit SAP-MM und CIM Data Base (CDB)
clustersteuerung				?							Pflege der bereits als Modul- und Clustersteuerung eingesetzten Produkte an unserem Tricent, MOCVD, OVPDÒ und PVPDÒ Systemen
clustersteuerungssoftware				?							Analyse der internen und externen Anforderungen an neue Modul- und Clustersteuerungssoftware für neue Applikationen
codegenerierungswerkzeug				5D? programmierwerkzeug wie Matlap Simulink Stateflow							Getragen von Simulations- und Codegenerierungswerkzeugen wie Matlab/Simulink/Stateflow erfolgt die Softwareentwicklung für Automatisierungssysteme speziell im Automobilbereich zunehmend modellbasiert.
combi				kein AM							gerne mit Erfahrung in den Programmen Audatex und Combi Plus Professionel
computerprogramm				weglassen? verschiedenesten Programmen und Branchen							Gängige Computerprogramme und MS Office müssen beherrscht werden
cpk				Prozessfähigkeitsinizes Kennzahlen zur statistischen Bewertung eines Prozesses in der Produktionstechnik AM?							Anwendungsorientierte Erfahrung in der Meßdatenerfassung, SPC und cpk
csf				csf Lader (kleiner Bagger)							(Pflege und Optimierung der Suchmaschinen, Umgang mit HTML und CSF)
cvs				Quellencodeverwaltung							Erfahrung im Umgang mit CVS, MAVEN, HIBERNATE, SPRING, ECLIPSE  Sie haben Erfahrungen mit Eclipse, ANT und CVS gesammelt
datahighway				datahighway plus ->Bussystem							Erfahrung bei der Anwendung von Bus-Systemen (Profibus, Ethernet, ASi und DataHighway Plus)
datenübertragungssystema				AM? zb übertragung von Zählerdaten automatisch an Stromvertreiber							für die Montage und Inbetriebnahme von intelligenten Zählern und Datenübertragungssystemen der neuesten Generation.
dba-cockpit				SAP / datenbankadministration							Fundiertes Fachwissen im Umgang mit SAP/R3 (DBA-Cockpit)
diss				Pc Anwendung (Kfz) ?							Die Standardprogramme von VW wie ELSA, DISS, WPS sowie DAT,
dmps				diseas managment program	kein Am?						* DMPs, Briefe und Korrespondenz unterschiedlich, technische Untersuchungen (wie EKG, LZ-EKG anlegen und RR-Mon anlegen, Lungenfunktionstest, Bel-EKG)
dosierpumpe				einfaches Gerät?							Wir sind einer der weltweit führenden deutschen Hersteller von Dosierpumpen, Dosieranlagen und Membranverdichtern.  Wir sind einer der weltweit führenden deutschen Hersteller von Dosierpumpen, Dosieranlagen und Membranverdichtern.  Wir sind einer der weltweit führenden deutschen Hersteller von Dosierpumpen, Dosieranlagen und Membranverdichtern.  Wir sind einer der weltweit führenden deutschen Hersteller von Dosierpumpen, Dosieranlagen und Membranverdichtern.  Wir sind einer der weltweit führenden deutschen Hersteller von Dosierpumpen, Dosieranlagen und Membranverdichtern.  Wir sind einer der weltweit führenden deutschen Hersteller von Dosierpumpen, Dosieranlagen und Membranverdichtern.  Wir sind einer der weltweit führenden deutschen Hersteller von Dosierpumpen, Dosieranlagen und Membranverdichtern.
druckförderpumpe				kein Am höchstens unter Anlagen zu fassen							Wir sind Spezialist für Wasserfilteranlagen aller Art und liefern und versenden Wasserfilteranlagen, Umkehr Osmose Systeme, Druckförderpumpen sowie Ersatzteile aller Art.  Wir sind Spezialist für Wasserfilteranlagen aller Art und liefern und versenden Wasserfilteranlagen, Umkehr Osmose Systeme, Druckförderpumpen sowie Ersatzteile aller Art.
drucksystema				Drucker							Im Außendienst betreuen Sie unsere Kunden und führen die Installations-, Service- und Reparaturarbeiten an unseren multifunktionalen Bürokommunikationssystemen, insbesondere Kopier-, Fax- und Drucksystemen der Hersteller Kyocera, Konica Minolta und Samsung eigenverantwortlich durch.
eap				hauptsächlich Abkürzung für Erweiterte Ampulante Pysiotherapie--> kein Am , aber auch EDV Programm							Außerdem sind Kenntnisse in der EAP Anwendung & AD 2000 Regelwerk erforderlich.
edirectory				publishing powerful directory-driven websites, Online directory SW							IT-Netzwerkkenntnisse und Erfahrung mit Verzeichnisdiensten (AD, LDAP und eDirectory)
eft/				Zertifikat?							Erfahrung im Bereich EFT/ POS, ggf.    Erfahrung im Bereich EFT/ POS, ggf.    Erfahrung im Bereich EFT/ POS, ggf.
elcom				CAD Programm							Herstellung von Zeichnungen für Installationsarbeiten (Stromlaufpläne, Installationspläne usw.) mittels CAD Autocad und ELCOM (Hager).
entwässerungsanlage				kein Am							Sachbearbeitung von baulichen Neubau- und Instandhaltungsmaßnahmen im Bereich Umspannwerke (Schalthäuser, Fundamente und Wannen für elektrische Geräte, Zaunanlagen und Entwässerungsanlagen)
entwässerungsmaschine				Handgesteuerte Maschine							wie Papier- und Entwässerungsmaschinen funktionieren: vom Antrieb über die Stoffzuführung, -verdünnung und -reinigung bis zur Sieb-, Pressen- und Trockenpartie
erprobungsfahrzeug				kein AM?							Flashen von Steuergeräten in Erprobungsfahrzeugen und Prüfständen
esops				Guideline							Außerdem sind Sie zuständig für die elektronische Verwaltung von Standardarbeitsanweisungen (SOPs) im Dokumentenmanagementsystem (ESOPS), sowie für die Durchführung von Complianceprüfungen an GMP-relevanten Dokumenten.
ex-chang				Microsoft Exchange							sehr gute Kenntnisse in den Bereichen Windows Server, Microsoft ActiveDirectory und Ex-change Server
fe-input-cod				Programmierprozess							Sie beherrschen relevante Programmiersprachen und haben idealerweise Kenntnisse über KUKA- und FE-Input-Codes
fettabscheider				Kein AM? Im Rohr drinn							Ein regionales Unternehmen in 15378 Herzfelde sucht zur schnellstmöglichen Einstellung zwei zuverlässige und motiverte Mitarbeiter (m/w) für die Sanierung von Abscheideranlagen (Fettabscheider, Öl- und Benzinabscheider) und Rohrleitungen (geschlossene Bauweise).
fiaa				SAP ERP System							Weiterhin verfügen Sie über gute Kenntnisse in der Anlagenbuchhaltung und sind sicher im Umgang mit SAP ERP (FIAA) und MS-Office.
flügel				meistens als Instrument in den SteA oder in Verbindung zu Türen dann aber kein Am							Transport von Flügeln und Klavieren im Nah- und Fernverkehr
fotodetektor				AM? 1x in SteA aufgetaucht Photonik/Nanotechnologie							Ein Schwerpunkt liegt im Design von Transmitter- und Empfänger-Modulen, die jeweils aus plasmonischem Laser und Modulator, bzw. aus plasmonischem Verstärker und Fotodetektor bestehen.
gaa				?							Umfassende Kenntnisse im Bereich GWT und GAA
gc-ms				Chromotographische Methode, AM?							Erfahrung im Umgang mit GC-MS, Umgang mit Titrierstationen
geldmanagementsystem				Geldmanagment oder kassensysteme AM?							Die Crown Technologies GmbH ist ein mittelständisches Unternehmen der Unterhaltungsautomatenindustrie und befasst sich mit der Entwicklung, Herstellung und dem Vertrieb von Geldspielgeräten sowie im Unternehmensbereich ¿Crown-Systems¿ mit Kassen- und Geldmanagementsystemen für Behörden, Energieversorger und Krankenhäuser sowie andere öffentliche Auftraggeber.
gewinderolle				Gewinderolle AM?							Kenntnisse im Bereich Gewinderollen (verfahrenstechnisches Verständnis)
gießpfanne				schmelzofenbereich							Pflege der Öfen und Gießpfannen
gkv				gesetzliche KV Kein AM							Zu Ihren Aufgaben gehören Empfang der Patienten, Verwaltung der Patientendaten, Beschaffung und Verwaltung von Befunden, Terminvereinbarung et cetera, Durchführung und Kontrolle der Leistungserfassung, Abrechnung GKV, GOÄ sowie HZV.
gratomat				eifache Handschleifmaschine und Gratomat in einem Satz verwendet 1A?							einfache Handschleifmaschinen und Gratomaten
großflächenschaltafel				Schaltafel zur Herstellung von Betonstücken AM?							Anfertigung von Schalungen und Hilfsschalungen aus Holz- und Großflächenschaltafeln zur Herstellung von maßgenauen Betonteilen,
gwb				Vorschrift/Vergaberecht							Grundkenntnisse Vergaberecht (SektVO, GWB)
haarteil				wie make up 1A?							Kenntnisse mit Perücken, Haarteilen und Toupets sind vorteilhaft
hellas				kein AM							Sehr gute Kenntnisse in HellAS
hilfsgerät				ganz verschiedene Zusammenhänge weglassen?							Einrichtung von Druckmaschinen und Hilfsgeräten
hmi-software				AM? hmi framework --> Visualisierungs SW							Erstellung der SPS-Programme und HMI-Software
holos				HOLOS NT -> 3D Messmaschine / messprogramm							Bedienen einer Koordinaten 3D Messmaschine (idealer weise Zeiss Contura oder Prismo Software Calypso und Holos NT)
hzv.				Abrechnungsgrundlage "rzte /Bestimmung/Vertrag							Zu Ihren Aufgaben gehören Empfang der Patienten, Verwaltung der Patientendaten, Beschaffung und Verwaltung von Befunden, Terminvereinbarung et cetera, Durchführung und Kontrolle der Leistungserfassung, Abrechnung GKV, GOÄ sowie HZV.
ifs				Norm							fundierte Kenntnisse in der Anwendung Qualitätsmanagementsystemen (HACCP, QMS, IFS)
ifs				Norm							fundierte Kenntnisse in der Anwendung Qualitätsmanagementsystemen (HACCP, QMS, IFS)
impact				kein Am							* Competency confirmed by project experience with some of the following areas: CRF Electronic Data Capture systems, Clinical Trial Management systems (IMPACT), Safety Databases, Clinical Reporting and data review systems.
informationsmanagement-werkzeug				Datenbankmanagment							Wir bieten Ihnen einen zukunftssicheren Arbeitsplatz in einem Team von Entwicklern und Datenbankexperten, welches die Prozesse des Versandhandels in "IT" übersetzt: Zusätzlich versorgt es unsere Fachbereiche in einem sehr dynamischen und anspruchsvollen technischen Umfeld mit Applikationen und Informationsmanagement-Werkzeugen.
intercomsystem				dratlose Funk und Intercomsysteme --> AM?							Ihr Aufgabenbereich erstreckt sich von der Programmierung über die Systemzusammenstellung von Funk- und Intercomsystemen bis zur Inbetriebnahme der Systeme beim Kunden.
ip-dien				/ kein AM nicht findbar							Netzwerktechnik und IP-Dienste
ipc				8I --> PC standards7 Prozessl / IPC&SPS							Kenntnisse im Umgang mit IPC sowie der Software Twin CAD, MS Office  Kenntnisse im Umgang mit IPC sowie der Software Twin CAD, MS Office  Sie besitzen Kenntnisse in der Prozesssteuerung mit IPC und SPS
											NA
iris				IRIS.PLUS (TUI) Branchen Sw Reiseverkehr							Weiterhin setzen wir gute Kenntnisse in TOMA und IRIS voraus.
itm				IBM TIVOLI							Erfahrung mit IBM Tivoli (ITM, TEC, Netcool OMNIbus)
kalypso				calypso? --> Mess SW windowsbasiert							Gute Kenntnisse in SAP R/3, MS-Office und Kalypso
kommunalfahrzeug				Traktoren Winterdienstmaschinen etc							Sie sind für die Wartung, Reparatur und Instandhaltung von Land-/Baumaschinen, sowie Gabelstaplern und Kommunalfahrzeugen verantwortlich.
kommunalgerät				land- Baumaschinen							Die Produktpalette umfasst ein ausgewähltes Sortiment an Heckenscheren, Motorsägen, Motorsensen, Rasenmäher, Aufsitzmäher, Rasentraktoren, Laubsauger, Kehrmaschinen, Spindelmäher, Großflächenmäher, Winterdienstgeräte, diverse Spezialmaschinen und Kommunalgeräten.
											NA
konstruktionssystem				CAD							Berufserfahrung: 2 ¿ 3 Jahre in ähnlicher Position, Kenntnisse im Umgang mit Konstruktionssystemen wären von Vorteil
kop				?							Objektorientierung- Verständnis von Softwarearchitekturen, Automatisierungstechniken, AWL und KOP, FUP-
laborautomatisierungssystema				Roboter							Entwicklung von innovativen Lösungen für die Laborautomatisierung mit Roboter- und Laborautomatisierungssystemen.
läser				weg?Zusamenhang: Läser-waage 0 messmittel							* Erfahrung im Umgang mit Läser und Wasserwaage
leitspinnenmaschine				Zug und leitspinnmaschinen im Zusammenhang mit Feinmechanik							Bei uns wird mit Zug- und Leitspinnenmaschinen gearbeitet
linq				programmiersprache bzw Backend							Datenbankapplikationen mit MS-SQL und LINQ
load-balancer				oder große Mengen von Anfragen auf mehrere parallel arbeitende Systeme verteilt						Räumfahrzeug oder im Zus	Kenntnisse in den Bereichen Load-Balancer, Netzwerke und Firewalls sind wünschenswert, ebenso wie Erfahrung in XEN, SAN, Storage und LDAP.
lph				kein AM? Leistungsphasen nach HOAIfür Architekten							* sehr gute Kenntnisse in LPH 4-7  * Kenntnisse in LPH 8-9
luftstrahlmühl				Teilchen in einem Gasstrom vermahlen also 2A oder2B							Bedienen und Beschicken von Rührapparaten, Einschüttvorrichtungen, Mischern, Zahlkolloid-, Perl- und Luftstrahlmühlen
lvds				Bussystem / übertragungssystem							High Speed Schaltungstechniken (LVDS, PECL, ...)
lvr				kein AM wenn im Zusammenhang mit Programmieren							Buchen des jeweiligen Vorgangs und Erstellen der notwendigen Papiere in unseren Systemen LVR und SAP
mappingsystem				AM? Carto 3 MS = elektroanatomische Analyse Herz oder aber bei SW Entwicklung							Kenntnisse im Umgang mit Mappingsystemen, Mediaplanung oder Außenwerbung sind von Vorteil, werden aber nicht vorrausgesetzt.
marisk				Regulation/ Norm 8C							Fachkompetenz mit mehrjähriger Erfahrung im Kreditgeschäft verbunden mit einschlägigen Kenntnissen im Kreditrecht (MaRisk / KWG)
marsha				Hotelreservierungsprogramm							Erfahrungen in den Hotelverwaltungsprogrammen Opera und Marsha sind von Vorteil.
marzok				Programmierunh wie Haidenhain bzw Steuerung wie Haidenhain							Für einen anderen Kunden Kenntnissen in der Marzok - Programmierung in unbefristeter Anstellung und übertraiflicher Bezahlung mit Übernahmeoption
mediawiki				Backend Administration / Programmiersprache oder 8I ähnlich MYSQL							JBoss Applikationsserver, Webservices, MediaWiki und Apache Webserver
meldeanlage				Instalation und Wartung AM?							Kenntnisse im Bereich Meldeanlagen und Führerschein PKW von Vorteil , jedoch nicht zwingend.
membranpumpe				Maschine zur Förderung von Flüssigkeiten bzw. Gasen Diese werden in den meisten Fällen über einen Pumpenhebel per Hand angetrieben							Erfahrungen im Umgang mit der Membranpumpe
membranverdichter				Kompressor							Wir sind einer der weltweit führenden deutschen Hersteller von Dosierpumpen, Dosieranlagen und Membranverdichtern.  Wir sind einer der weltweit führenden deutschen Hersteller von Dosierpumpen, Dosieranlagen und Membranverdichtern.  Wir sind einer der weltweit führenden deutschen Hersteller von Dosierpumpen, Dosieranlagen und Membranverdichtern.  Wir sind einer der weltweit führenden deutschen Hersteller von Dosierpumpen, Dosieranlagen und Membranverdichtern.  Wir sind einer der weltweit führenden deutschen Hersteller von Dosierpumpen, Dosieranlagen und Membranverdichtern.  Wir sind einer der weltweit führenden deutschen Hersteller von Dosierpumpen, Dosieranlagen und Membranverdichtern.  Wir sind einer der weltweit führenden deutschen Hersteller von Dosierpumpen, Dosieranlagen und Membranverdichtern.
mrp-programm				wie ERP Programm							MS Office Applikationen und MRP-Programme sicher beherrschen,
mrp				ERP							Erfahrung in der Arbeit mit ERP und MRP Systemen, idealerweiseSAp R3.
msa				Methode kein Am, Prüfmittel überwachung							* sehr gute Kenntnisse in Qualitätstechniken und Methoden (FMEA, 8D-Methoden, MFU, PFU, SPC und MSA)
mttr				Mean Time To Repair" (MTTR) ist die Durchschnittszeit, die benötigt wird, um etwas nach einem Ausfall zu reparieren.							Kenntnisse in TPM, OEE, MTTR, MTBF, Schmierstoffe
multi-tier-system				Sowfware Architektur							Sie haben fundierte Kenntnisse in Java ab Version 5, Datenbanken, Web-Applikationen und Multi-Tier-Systemen.
mvc				ASP MVC programmiersprache							Erfahrungen im Bereich ASP.NET und MVC, Webtechnologien wie HTML/ CSS, Erfahrungen im Bereich PHP und relationalen Datenbanksystemen  gute Kenntnisse mit XML, XSL und MVC Frameworks (Struts)
nebengerät				weiter Begriff unter Geräte vielleicht meist in Verbindung mit Trockenschweiß und Krananlagen							Weiterhin wird ein Konstrukteur für Steuerpulte, Schiffsführungsstände und Nebengeräte der Schiffs- und Maschinensteuerung gesucht.
nemetschek-allplan				SW für Hochbau --> CAD							Zwingend erforderlich sind Auto-CAD-Kenntnisse, sowie Kenntnisse in Nemetschek-Allplan.
netcool				IBM Tivoli wie SAP?							Erfahrung mit IBM Tivoli (ITM, TEC, Netcool OMNIbus)
nios cpu				SOPC Builder SW Development							Weiter haben Sie schon spezifische Kenntnisse mit SOPC-Builder, Grundlagen mit PCI-Express, SERCOS sowie Avalon Bus und NIOS CPU von ALTERA
nupas				CAD System							Anwendungsbereite Computerkenntnisse(CAD -Kenntnisse TRIBON und NUPAS /CADMATIC
oca/ocp				oracle Zertifizierumg							Zertifizierungen Oracle (OCA/OCP)
oee				Overall Equipment Effectiveness							Kenntnisse in TPM, OEE, MTTR, MTBF, Schmierstoffe
oltp				OLAP Datenbank							Erfahrungen in den Bereichen OLTP und OLAP
oop-phase				SW Konzeptionsphase AM?							Konstruktive Mitarbeit in der OOD- und OOP-Phase bei der Migration einer kaufmännischen Anwendung nach Java
open-vms				Betriebssystem?							Fundierte Kenntnisse in Open-VMS und Adabas sowie Linux
openexchange				Novell openexchange Server							Erfahrungen in OpenExchange, OpenVPN sowie in der Verwaltung von Clustern und virtualisierten Serverumgebungen (VMWare) sind von Vorteil
oracle-datenbank				Datenbank							Anwendungsentwickler (m/w) Java und Oracle-Datenbank im Raum Stuttgart
orbis-system				KIS ORBIS System = Krankeninformationssystem SW							Der Umgang mit dem Orbis-System und MS-Office, insbesondere Word, sowie das Schreiben nach Phonodiktat sind Ihnen nicht fremd.
os-system				Z os unix system von Mac							Erfahrung in OS-Systemen
osbk				Programmieren im Zusammenhang mit DOORS, Inventor(=Modellierungselementen aufbauende, parametrische 3D-CAD-Software)							Kenntnisse in DOORS, Innovator und OSBK BS sind wünschenswert
osd											OSD und MS-Office
ose											Erfahrungen mit den Betriebssystemen VxWorks und OSE sind vorteilhaft, aber nicht Bedingung
